nm,var1,var2
929,0000;751,4920
930,0000;746,3093
931,0000;740,8272
932,0000;735,645
933,0000;728,9837
934,0000;722,6223
935,0000;715,9615
936,0000;709,387
937,0000;701,9850
938,0000;694,8377
939,0000;687,5782
940,0000;680,2064
941,0000;672,7224
942,0000;665,1448
943,0000;657,4549
944,0000;649,6715
945,0000;641,7571
946,0000;633,6556
947,0000;625,3858
948,0000;616,9288
949,0000;608,2847
950,0000;599,4722
951,0000;590,4914
952,0000;581,3047
953,0000;571,9497
954,0000;562,6320
955,0000;553,5202
956,0000;544,6329
957,0000;535,9514
958,0000;527,4757
959,0000;519,2245
960,0000;511,1792
961,0000;503,3396
962,0000;495,5188
963,0000;487,3425
964,0000;478,7920
965,0000;469,8672
966,0000;460,5683
967,0000;450,9139
968,0000;440,8853
969,0000;430,7257
970,0000;421,338
971,0000;411,8472
972,0000;403,1844
973,0000;395,455
974,0000;387,4117
975,0000;380,2832
976,0000;373,5475
977,0000;366,7558
978,0000;359,8517
979,0000;352,8354
980,0000;345,7256
981,0000;338,4848
982,0000;331,1317
983,0000;323,6664
984,0000;316,2946
985,0000;309,2222
986,0000;302,4678
987,0000;296,315
988,0000;289,9133
989,0000;284,945
990,0000;278,5937
991,0000;273,929
992,0000;267,495
993,0000;260,4449
994,0000;253,2976
995,0000;245,5703
996,0000;237,3005
997,0000;228,9744
998,0000;221,5278
999,0000;214,9793
1000,0000;209,3288
1001,0000;204,5952
1002,0000;200,5164
1003,0000;196,8305
1004,0000;193,5001
1005,0000;190,5252
1006,0000;187,9244
1007,0000;185,6792
1008,0000;183,8082
1009,0000;182,2927
1010,0000;180,9082
1011,0000;179,5423
1012,0000;178,2139
1013,0000;176,9416
1014,0000;175,6880
1015,0000;174,4532
1016,0000;173,2744
1017,0000;172,1331
1018,0000;171,105
1019,0000;169,9253
1020,0000;168,8588
1021,0000;167,7736
1022,0000;166,6697
1023,0000;165,5659
1024,0000;164,4245
1025,0000;163,2645
1026,0000;162,1045
1027,0000;160,9070
1028,0000;159,7096
1029,0000;158,4934
1030,0000;157,2586
1031,0000;155,9863
1032,0000;154,7140
1033,0000;153,4230
1034,0000;152,1133
1035,0000;150,8036
1036,0000;149,4564
1037,0000;148,906
1038,0000;146,7061
1039,0000;145,3215
1040,0000;143,8995
1041,0000;142,4776
1042,0000;141,369
1043,0000;139,5962
1044,0000;138,2117
1045,0000;136,8271
1046,0000;135,4800
1047,0000;134,1516
1048,0000;132,8606
1049,0000;131,5883
1050,0000;130,3347
1051,0000;129,1185
1052,0000;127,9211
1053,0000;126,7611
1054,0000;125,6010
1055,0000;124,4597
1056,0000;123,3558
1057,0000;122,2519
1058,0000;121,1480
1059,0000;120,816
1060,0000;119,151
1061,0000;117,9673
1062,0000;116,9383
1063,0000;115,9279
1064,0000;114,9363
1065,0000;113,9633
1066,0000;113,278
1067,0000;112,1672
1068,0000;111,3252
1069,0000;110,5394
1070,0000;109,8097
1071,0000;109,1174
1072,0000;108,4813
1073,0000;107,8826
1074,0000;107,3212
1075,0000;106,7974
1076,0000;106,2922
1077,0000;105,8244
1078,0000;105,3941
1079,0000;105,12
1080,0000;104,6270
1081,0000;104,2902
1082,0000;103,9721
1083,0000;103,6915
1084,0000;103,4295
1085,0000;103,1863
1086,0000;102,9618
1087,0000;102,7747
1088,0000;102,5876
1089,0000;102,4379
1090,0000;102,1385
1091,0000;101,6895
1092,0000;101,721
1093,0000;100,3050
1094,0000;99,3694
1095,0000;98,2843
1096,0000;97,494
1097,0000;95,8332
1098,0000;94,7106
1099,0000;93,6816
1100,0000;92,7461
1101,0000;91,8854
1102,0000;91,1370
1103,0000;90,4634
1104,0000;89,8834
1105,0000;89,3782
1106,0000;88,9479
1107,0000;88,5363
1108,0000;88,1434
1109,0000;87,7879
1110,0000;87,4324
1111,0000;87,1143
1112,0000;86,8150
1113,0000;86,5530
1114,0000;86,2911
1115,0000;86,291
