nm,var1,var2
931,0000;1220,1973
932,0000;1219,2022
933,0000;1218,2071
934,0000;1217,1935
935,0000;1216,1984
936,0000;1215,2033
937,0000;1215,2033
938,0000;1214,2082
939,0000;1214,2082
940,0000;1214,2082
941,0000;1213,1947
942,0000;1213,1947
943,0000;1212,1995
944,0000;1212,1995
945,0000;1211,2044
946,0000;1210,1909
947,0000;1208,2006
948,0000;1207,2055
949,0000;1205,1969
950,0000;1204,2017
951,0000;1202,1931
952,0000;1200,2029
953,0000;1199,1893
954,0000;1197,1991
955,0000;1195,1904
956,0000;1194,1953
957,0000;1192,2051
958,0000;1190,1964
959,0000;1187,1926
960,0000;1186,1975
961,0000;1183,1937
962,0000;1182,1986
963,0000;1180,1900
964,0000;1178,1997
965,0000;1175,1959
966,0000;1173,1873
967,0000;1170,2019
968,0000;1167,1982
969,0000;1164,1944
970,0000;1162,1857
971,0000;1159,2004
972,0000;1156,1966
973,0000;1153,1928
974,0000;1150,1890
975,0000;1147,1852
976,0000;1144,1815
977,0000;1140,1826
978,0000;1136,1837
979,0000;1131,1897
980,0000;1128,1859
981,0000;1124,9425
982,0000;1120,9805
983,0000;1116,2998
984,0000;1110,9003
985,0000;1104,7638
986,0000;1098,4614
987,0000;1092,3248
988,0000;1086,3910
989,0000;1080,6230
990,0000;1075,577
991,0000;1069,6583
992,0000;1064,4616
993,0000;1059,4307
994,0000;1054,6210
995,0000;1050,1245
996,0000;1045,9782
997,0000;1042,1636
998,0000;1038,7175
999,0000;1035,5848
1000,0000;1032,8021
1001,0000;1030,3696
1002,0000;1028,2688
1003,0000;1026,5181
1004,0000;1024,5832
1005,0000;1022,1691
1006,0000;1019,2390
1007,0000;1015,7930
1008,0000;1011,8678
1009,0000;1007,4266
1010,0000;1002,4879
1011,0000;997,516
1012,0000;991,994
1013,0000;984,6495
1014,0000;977,7206
1015,0000;970,7547
1016,0000;964,101
1017,0000;957,4497
1018,0000;951,920
1019,0000;944,9554
1020,0000;939,32
1021,0000;933,2536
1022,0000;927,7067
1023,0000;922,3442
1024,0000;917,2027
1025,0000;911,9323
1026,0000;906,2564
1027,0000;900,1936
1028,0000;893,7438
1029,0000;886,8885
1030,0000;879,6279
1031,0000;871,9802
1032,0000;863,9271
1033,0000;855,5423
1034,0000;847,5077
1035,0000;840,443
1036,0000;833,1338
1037,0000;826,7945
1038,0000;821,265
1039,0000;815,8298
1040,0000;811,2044
1041,0000;807,1502
1042,0000;803,4277
1043,0000;799,1340
1044,0000;794,1952
1045,0000;788,6115
1046,0000;782,3644
1047,0000;775,4539
1048,0000;767,8984
1049,0000;759,6979
1050,0000;750,8340
1051,0000;741,3251
1052,0000;732,742
1053,0000;723,5051
1054,0000;715,6547
1055,0000;708,5046
1056,0000;702,364
1057,0000;696,2868
1058,0000;691,2191
1059,0000;686,8701
1060,0000;683,739
1061,0000;678,8354
1062,0000;673,9704
1063,0000;668,4973
1064,0000;662,3976
1065,0000;655,6529
1066,0000;648,3001
1067,0000;640,3207
1068,0000;631,7148
1069,0000;622,4823
1070,0000;612,6602
1071,0000;603,39
1072,0000;593,7161
1073,0000;584,8153
1074,0000;576,3200
1075,0000;568,1932
1076,0000;560,4534
1077,0000;553,1190
1078,0000;546,1716
1079,0000;539,5928
1080,0000;533,4194
1081,0000;527,6330
1082,0000;522,1598
1083,0000;516,7973
1084,0000;511,5637
1085,0000;506,4222
1086,0000;501,3914
1087,0000;496,4711
1088,0000;491,6614
1089,0000;486,9438
1090,0000;482,3552
1091,0000;477,8587
1092,0000;473,4544
1093,0000;469,1238
1094,0000;464,7563
1095,0000;460,3520
1096,0000;455,8924
1097,0000;451,4144
1098,0000;446,8627
1099,0000;442,2925
1100,0000;437,6671
1101,0000;433,48
1102,0000;428,3056
1103,0000;423,5511
1104,0000;418,7598
1105,0000;413,9501
1106,0000;409,1772
1107,0000;404,4965
1108,0000;399,8895
1109,0000;395,3377
1110,0000;390,8781
1111,0000;386,4923
1112,0000;382,1801
1113,0000;377,9416
1114,0000;373,7953
1115,0000;369,7043
1116,0000;365,6870
1117,0000;361,7249
1118,0000;357,7444
1119,0000;353,7456
1120,0000;349,7467
1121,0000;345,7109
1122,0000;341,6936
1123,0000;337,6394
1124,0000;333,5852
1125,0000;329,4942
1126,0000;325,4216
1127,0000;321,3121
1128,0000;317,2027
1129,0000;313,932
1130,0000;309,943
1131,0000;305,2244
1132,0000;301,5019
1133,0000;297,9084
1134,0000;294,4624
1135,0000;291,1269
1136,0000;287,9389
1137,0000;284,8982
1138,0000;281,9682
1139,0000;279,1487
1140,0000;276,3292
1141,0000;273,5465
1142,0000;270,7639
1143,0000;268,181
1144,0000;265,2723
1145,0000;262,5634
1146,0000;259,8544
1147,0000;257,1824
1148,0000;254,5287
1149,0000;251,8751
1150,0000;249,2583
1151,0000;246,6415
1152,0000;244,616
1153,0000;241,4816
1154,0000;238,9386
1155,0000;236,3955
1156,0000;233,8893
1157,0000;231,4015
1158,0000;228,9505
1159,0000;226,5180
1160,0000;224,1224
1161,0000;221,7452
1162,0000;219,4048
1163,0000;217,829
1164,0000;214,7978
1165,0000;212,5496
1166,0000;210,3013
1167,0000;208,1084
1168,0000;205,9339
1169,0000;203,7778
1170,0000;201,6586
1171,0000;199,5577
1172,0000;197,4938
1173,0000;195,4667
1174,0000;193,4581
1175,0000;191,4678
1176,0000;189,5144
1177,0000;187,5979
1178,0000;185,6998
1179,0000;183,8202
1180,0000;181,9774
1181,0000;180,1714
1182,0000;178,3839
1183,0000;176,6148
1184,0000;174,9010
1185,0000;173,1872
1186,0000;171,5102
1187,0000;169,8701
1188,0000;168,2669
1189,0000;166,6820
1190,0000;165,1157
1191,0000;163,5861
1192,0000;162,934
1193,0000;160,6192
1194,0000;159,1818
1195,0000;157,7813
1196,0000;156,3992
1197,0000;155,539
1198,0000;153,7271
1199,0000;152,4371
1200,0000;151,1840
1201,0000;149,9493
1202,0000;148,7515
1203,0000;147,5721
1204,0000;146,4296
1205,0000;145,3055
1206,0000;144,2182
1207,0000;143,1678
1208,0000;142,990
1209,0000;141,486
1210,0000;139,9797
1211,0000;138,9478
1212,0000;137,8974
1213,0000;136,8654
1214,0000;135,8150
1215,0000;134,7830
1216,0000;133,7695
1217,0000;132,7375
1218,0000;131,7240
1219,0000;130,7104
1220,0000;129,6969
1221,0000;128,7018
1222,0000;127,7066
1223,0000;126,7115
1224,0000;125,6980
1225,0000;124,6844
1226,0000;123,6525
1227,0000;122,6205
1228,0000;121,5517
1229,0000;120,4828
1230,0000;119,3956
1231,0000;118,2899
1232,0000;117,1842
1233,0000;116,417
1234,0000;114,8991
1235,0000;113,7382
1236,0000;112,5588
1237,0000;111,3794
1238,0000;110,1631
1239,0000;108,9468
1240,0000;107,7122
1241,0000;106,4775
1242,0000;105,2244
1243,0000;104,634
1244,0000;102,9946
1245,0000;102,363
1246,0000;101,1518
1247,0000;100,3778
1248,0000;99,6775
1249,0000;99,878
1250,0000;98,5903
1251,0000;98,1848
1252,0000;97,8900
1253,0000;97,6689
1254,0000;97,5399
1255,0000;97,5214
1256,0000;97,5951
1257,0000;97,7610
1258,0000;98,190
1259,0000;98,3323
1260,0000;98,5903
1261,0000;98,7930
1262,0000;98,9220
1263,0000;98,9957
1264,0000;98,9957
1265,0000;98,9404
1266,0000;98,8114
1267,0000;98,6087
1268,0000;98,3507
1269,0000;98,190
1270,0000;97,6320
1271,0000;97,1897
1272,0000;96,6553
1273,0000;96,840
1274,0000;95,4206
1275,0000;94,7019
1276,0000;93,9464
1277,0000;93,1908
1278,0000;92,4537
1279,0000;91,7350
1280,0000;91,347
1281,0000;90,3345
1282,0000;89,6526
1283,0000;88,9892
1284,0000;88,3442
1285,0000;87,6993
1286,0000;87,727
1287,0000;86,4646
1288,0000;85,8749
1289,0000;85,3036
1290,0000;84,7323
1291,0000;84,1795
1292,0000;83,6451
1293,0000;83,1107
1294,0000;82,5947
1295,0000;82,971
1296,0000;81,5996
1297,0000;81,1020
1298,0000;80,6229
1299,0000;80,1622
1300,0000;79,7015
